Date,Close,Open,RSV,ATR,MA7,MA14,MA21,Middle_Band,Upper_Band,Lower_Band,DIF,DEA,MACD
1991/4/26,894.36,894.36,0,4.608571428571428,907.8900000000001,923.9621428571428,940.452380952381,940.452380952381,995.6969632,885.2077986983619,-21.153767,-17.337596,-7.632342
1991/4/27,889.89,889.89,0,4.58142857142857,903.362857142857,919.3807142857142,935.7780952380953,935.7780952380953,990.7527436632895,880.803446812901,-21.879659,-18.246009,-7.267302
1991/4/29,885.43,885.43,0,4.562857142857142,898.8557142857143,914.8178571428572,931.1266666666667,931.1266666666667,985.8306218686159,876.4227114647174,-22.554821,-19.107771,-6.8941
1991/4/30,880.98,880.98,0,4.5428571428571445,894.37,910.2749999999999,926.4938095238094,926.4938095238094,980.9333353638115,872.0542836838074,-23.181745,-19.922566,-6.518358
1991/5/2,876.57,876.57,0,4.529285714285712,889.9114285714286,905.7457142857141,921.8819047619048,921.8819047619048,976.0637707805573,867.7000387432523,-23.76054,-20.690161,-6.140758
1991/5/3,872.16,872.16,0,4.515714285714288,885.4614285714285,901.2300000000001,917.2909523809524,917.2909523809524,971.2279194521751,863.3539853097296,-24.295031,-21.411135,-5.767792
1991/5/4,867.75,867.75,0,4.5021428571428554,881.0199999999999,896.7278571428571,912.7204761904761,912.7204761904761,966.4349399389819,859.0060124419704,-24.78872,-22.086652,-5.404137
1991/5/6,863.35,863.35,0,4.487857142857138,876.59,892.2399999999999,908.1714285714287,908.1714285714287,961.6920230433856,854.6508340994718,-25.244018,-22.718125,-5.051787
1991/5/7,859.06,859.06,0,4.465714285714292,872.1857142857142,887.7742857142857,903.6490476190475,903.6490476190475,956.9694895961322,850.3286056419627,-25.655275,-23.305555,-4.69944
1991/5/8,854.78,854.78,0,4.442857142857146,867.8071428571428,883.3314285714285,899.1476190476192,899.1476190476192,952.2694925878205,846.0257455074178,-26.026541,-23.849752,-4.353577
1991/5/9,850.5,850.5,0,4.42,863.4528571428572,878.9114285714286,894.667619047619,894.667619047619,947.5759387993128,841.7592992959253,-26.362245,-24.352251,-4.019988
1991/5/10,846.22,846.22,0,4.397142857142853,859.1171428571428,874.5142857142857,890.202857142857,890.202857142857,942.8882636511822,837.5174506345319,-26.66626,-24.815053,-3.702415
1991/5/11,841.94,841.94,0,4.383571428571421,854.8000000000001,870.1307142857142,885.7533333333333,885.7533333333333,938.2121194019185,833.2945472647482,-26.941985,-25.240439,-3.403092
1991/5/13,837.66,837.66,0,4.3700000000000045,850.5014285714286,865.7607142857142,881.3190476190476,881.3190476190476,933.553192289692,829.0849029484033,-27.192402,-25.630832,-3.12314
1991/5/14,835.01,834.44,4.742508001163792,4.355714285714287,846.4528571428572,861.5214285714285,876.977619047619,876.977619047619,928.7268768099048,825.2283612853332,-27.290108,-25.962687,-2.654843
